"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3497802,132,"Yes","Accommodation"
3472392,140,"Yes","Accommodation"
3523006,130,"No","All"
3523256,156,"Yes","Activities"
3502513,164,"No","All"
3503281,177,"Yes","Activities"
3497716,156,"Yes","Activities"
3503265,191,"Yes","Activities"
3523231,145,"Yes","Accommodation"
3523251,170,"Yes","Accommodation"
3503432,175,"No","All"
3523776,120,"No","All"
3472269,156,"No","All"
3503401,127,"No","All"
3523819,165,"Yes","Activities"
3523917,127,"No","All"
3472451,150,"Yes","Accommodation"
3503265,190,"Yes","Accommodation"
3503333,180,"Yes","Accommodation"
3523819,164,"Yes","Accommodation"
3472444,151,"Yes","Transport"
3523367,172,"Yes","Accommodation"
3523374,162,"Yes","Transport"
3472594,156,"Yes","Accommodation"
3522984,201,"Yes","Accommodation"
3496324,152,"Yes","Accommodation"
3503581,178,"Yes","Accommodation"
3472669,148,"Yes","Accommodation"
3524805,172,"Yes","Accommodation"
3495967,154,"Yes","Accommodation"
3496374,122,"Yes","Accommodation"
3496526,179,"Yes","Accommodation"
3495951,160,"Yes","Activities"
3496524,145,"No","All"
3472517,137,"Yes","Activities"
3522854,174,"Yes","Activities"
3496124,169,"Yes","Activities"
3496324,153,"Yes","Activities"
3496526,180,"Yes","Activities"
3523118,141,"No","All"
3503801,156,"Yes","Activities"
3496065,117,"No","All"
3496685,152,"Yes","Accommodation"
3496374,123,"Yes","Transport"
3496728,245,"Yes","Accommodation"
3523105,129,"Yes","Accommodation"
3497003,170,"Yes","Accommodation"
3497046,154,"Yes","Activities"
3497053,154,"Yes","Activities"
3497053,153,"Yes","Accommodation"
3497630,148,"Yes","Accommodation"
3497755,141,"Yes","Accommodation"
3497814,158,"Yes","Accommodation"
3523251,171,"Yes","Activities"
3501742,145,"No","All"
3497746,140,"Yes","Accommodation"
3502340,177,"Yes","Accommodation"
3502367,176,"Yes","Accommodation"
