"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3185935,146,"Another reason"
3187391,155,"Another reason"
3185935,144,"Poor customer service"
3187391,151,"Poor/old facilities"
3187391,152,"Too expensive"
3187391,153,"Poor customer service"
3187443,139,"Poor customer service"
3187443,140,"No free internet"
3187443,141,"No air-conditioning/heating inadequate"
3187443,142,"Poor value for money"
3187473,152,"Generally poor standard"
3187473,153,"No air-conditioning/heating inadequate"
3187473,149,"Too expensive"
3187473,150,"Poor customer service"
3187473,151,"Poor standard of cleanliness/dirty"
3187443,143,"Another reason"
3187473,148,"The Qualmark rating was too high"
3187473,154,"Poor value for money"
3187491,157,"The Qualmark rating was too high"
3187491,161,"Generally poor standard"
3186040,129,"Generally poor standard"
3187491,156,"Poor/old facilities"
3187491,158,"Too expensive"
3187491,159,"Poor customer service"
3187491,160,"Poor standard of cleanliness/dirty"
3186040,127,"Too expensive"
3186040,128,"Poor standard of cleanliness/dirty"
3186040,130,"No air-conditioning/heating inadequate"
3186950,166,"Another reason"
3186040,131,"Noisy"
3187675,146,"No free internet"
3187675,147,"No air-conditioning/heating inadequate"
3186950,163,"No free internet"
3188008,168,"No free internet"
3186950,164,"No air-conditioning/heating inadequate"
3187675,145,"Poor customer service"
3186950,161,"Poor customer service"
3186950,162,"Poor standard of cleanliness/dirty"
3188008,166,"Too expensive"
3188008,167,"Poor standard of cleanliness/dirty"
3187675,148,"Poor value for money"
3188008,169,"Generally poor standard"
3188008,170,"Poor value for money"
3186950,165,"Poor value for money"
3187050,153,"The Qualmark rating was too high"
3187050,154,"Too expensive"
3187050,155,"Poor customer service"
3187050,156,"Poor standard of cleanliness/dirty"
3187050,158,"Generally poor standard"
3187050,160,"Poor value for money"
3187050,157,"No free internet"
3187050,159,"No air-conditioning/heating inadequate"
3187050,161,"Noisy"
3187099,141,"No free internet"
3187065,150,"Another reason"
3187065,149,"Generally poor standard"
3187065,146,"Poor/old facilities"
3187065,147,"Too expensive"
3187099,143,"No air-conditioning/heating inadequate"
3187117,141,"No air-conditioning/heating inadequate"
3187065,148,"Poor standard of cleanliness/dirty"
3187099,145,"Another reason"
3187099,138,"Poor/old facilities"
3187099,139,"Too expensive"
3187099,140,"Poor standard of cleanliness/dirty"
3187117,139,"Poor/old facilities"
3187117,140,"Poor customer service"
3186869,142,"Poor customer service"
3186869,143,"Poor standard of cleanliness/dirty"
3187251,154,"Poor/old facilities"
3187251,155,"Poor customer service"
3187251,156,"Poor standard of cleanliness/dirty"
3188144,152,"No air-conditioning/heating inadequate"
3187251,157,"No air-conditioning/heating inadequate"
3187251,159,"Noisy"
3187281,154,"No free internet"
3187099,142,"Generally poor standard"
3187281,151,"The Qualmark rating was too high"
3187281,156,"Another reason"
3186869,145,"Another reason"
3188562,174,"Another reason"
3187281,150,"Poor/old facilities"
3187281,152,"Poor customer service"
3187281,153,"Poor standard of cleanliness/dirty"
3188562,171,"Poor standard of cleanliness/dirty"
3187099,144,"Poor value for money"
3187251,158,"Poor value for money"
3187281,155,"Poor value for money"
3186869,144,"Poor value for money"
3188562,172,"Generally poor standard"
3187298,129,"The Qualmark rating was too high"
3187278,155,"The Qualmark rating was too high"
3187351,152,"The Qualmark rating was too high"
3188594,134,"The Qualmark rating was too high"
3188562,173,"No air-conditioning/heating inadequate"
