"SurveyResponseID","AnswerNumber","iSiteUsage"
3187199,86,"Internet access"
3187201,75,"Weather information"
3187201,76,"Maps"
3184652,84,"Maps"
3187251,88,"Weather information"
3187116,80,"Directions"
3187199,87,"Directions"
3187199,88,"General information about a different region"
3187199,90,"Suggested itineraries"
3187201,77,"Directions"
3184652,86,"Directions"
3184652,83,"General information about the region you were in"
3184652,85,"Compare prices / find deals"
3187234,87,"Compare prices / find deals"
3187234,90,"Attractions / Activities"
3187251,89,"Maps"
3187266,99,"Internet access"
3187234,88,"Directions"
3187251,91,"Suggested itineraries"
3187251,87,"General information about the region you were in"
3187251,90,"Overview of NZ regions"
3187264,85,"General information about the region you were in"
3187264,87,"Attractions / Activities"
3187266,98,"General information about the region you were in"
3187266,100,"Attractions / Activities"
3187264,86,"Directions"
3187351,86,"General information about a different region"
3187351,88,"Suggested itineraries"
3184873,75,"Access to resources to assist you to plan"
3187399,80,"Information about Maori culture / cultural activities"
3187351,84,"General information about the region you were in"
3187351,85,"Compare prices / find deals"
3184848,92,"Attractions / Activities"
3187351,87,"Attractions / Activities"
3184873,74,"General information about the region you were in"
3184873,76,"Maps"
3187399,78,"Weather information"
3187399,79,"Maps"
3184647,77,"Maps"
3184647,78,"Internet access"
3184647,82,"Information about amenities/services for the town you were in"
3187401,98,"Information about amenities/services for the town you were in"
3187401,99,"Accommodation in the region you were in"
3187401,100,"Transport/ travel options around New Zealand"
3187416,71,"Accommodation in a different region"
3187416,72,"Event information"
3187448,85,"Flights within New Zealand"
3184647,76,"General information about the region you were in"
3184647,79,"Compare prices / find deals"
3187401,96,"Maps"
3187433,81,"Maps"
3184647,80,"Directions"
3184647,81,"General information about a different region"
3187401,102,"Suggested itineraries"
3187416,74,"Suggested itineraries"
3187433,80,"Access to resources to assist you to plan"
3187401,95,"General information about the region you were in"
3187401,97,"Overview of NZ regions"
3187401,101,"Attractions / Activities"
3187416,73,"Attractions / Activities"
3187448,84,"Maps"
3187449,72,"Maps"
3187448,87,"Suggested itineraries"
3187449,73,"Directions"
3187449,74,"General information about a different region"
3187485,85,"Accommodation in the region you were in"
3187500,98,"Accommodation in the region you were in"
3187500,99,"Accommodation in a different region"
3187500,100,"Event information"
3184652,88,"Accommodation in a different region"
3184652,89,"Transport/ travel options around New Zealand"
3187448,86,"Attractions / Activities"
3187500,97,"Access to resources to assist you to plan"
3184652,87,"General information about a different region"
3187449,71,"General information about the region you were in"
3187449,75,"Attractions / Activities"
3187485,86,"Attractions / Activities"
3187500,96,"General information about the region you were in"
3187500,101,"Attractions / Activities"
3184652,90,"Attractions / Activities"
3187567,94,"Information about amenities/services for the town you were in"
3187567,90,"Check/confirm existing travel plans"
3187567,93,"Overview of NZ regions"
3187567,95,"Attractions / Activities"
3187583,75,"Compare prices / find deals"
3187583,76,"Information about amenities/services for the town you were in"
3187583,77,"Accommodation in a different region"
3187583,78,"Transport/ travel options around New Zealand"
3187485,84,"Maps"
3187567,91,"Maps"
3187583,74,"Maps"
3184667,78,"Weather information"
3184667,79,"Maps"
3184668,80,"Maps"
3187567,92,"Information about Maori culture / cultural activities"
3187583,73,"Access to resources to assist you to plan"
3187632,85,"Information about Maori culture / cultural activities"
3184667,77,"General information about the region you were in"
3184667,81,"Attractions / Activities"
3187632,84,"General information about the region you were in"
3187633,89,"General information about the region you were in"
3187633,90,"Maps"
3187633,91,"Internet access"
3187652,85,"Maps"
3187666,85,"Maps"
3187632,86,"Directions"
3187633,94,"Suggested itineraries"
3187652,84,"Access to resources to assist you to plan"
3187652,86,"Information about Maori culture / cultural activities"
3187652,88,"General information about a different region"
3187633,93,"Attractions / Activities"
3187652,83,"General information about the region you were in"
3187652,87,"Overview of NZ regions"
3187683,93,"Maps"
3187701,83,"Maps"
3187683,94,"Directions"
3187701,84,"General information about a different region"
3187749,73,"Directions"
