"SurveyResponseID","AnswerNumber","iSiteUsage"
3188250,87,"Information about amenities/services for the town you were in"
3188254,89,"Transport/ travel options around New Zealand"
3188254,90,"Event information"
3188202,93,"General information about a different region"
3188236,86,"General information about a different region"
3188237,90,"General information about a different region"
3188250,84,"Access to resources to assist you to plan"
3188250,86,"Directions"
3188250,88,"Suggested itineraries"
3188250,85,"Maps"
3188254,88,"Maps"
3188287,89,"Maps"
3188287,90,"Internet access"
3188250,83,"Check/confirm existing travel plans"
3184750,101,"General information about the region you were in"
3188254,91,"Attractions / Activities"
3184663,91,"General information about the region you were in"
3184663,94,"Attractions / Activities"
3188287,88,"General information about the region you were in"
3184663,92,"General information about a different region"
3184663,93,"Accommodation in the region you were in"
3188353,72,"Event information"
3188334,96,"Maps"
3188369,99,"Maps"
3188287,91,"Attractions / Activities"
3188369,97,"General information about the region you were in"
3188369,98,"Check/confirm existing travel plans"
3188369,102,"Attractions / Activities"
3188401,115,"Overview of NZ regions"
3188401,119,"Attractions / Activities"
3184665,75,"Information about Maori culture / cultural activities"
3184665,76,"Directions"
3188334,97,"Directions"
3188369,103,"Suggested itineraries"
3188419,116,"Maps"
3188419,117,"Internet access"
3188419,120,"Attractions / Activities"
3188434,118,"General information about the region you were in"
3188401,114,"Access to resources to assist you to plan"
3188401,116,"General information about a different region"
3188401,120,"Suggested itineraries"
3188434,119,"Access to resources to assist you to plan"
3188369,100,"Accommodation in the region you were in"
3188369,101,"Transport/ travel options around New Zealand"
3188401,117,"Accommodation in a different region"
3188437,88,"Maps"
3188471,88,"Maps"
3188437,90,"Overview of NZ regions"
3188437,92,"Attractions / Activities"
3188453,73,"Attractions / Activities"
3188437,89,"Directions"
3188453,74,"Suggested itineraries"
3188471,87,"Access to resources to assist you to plan"
3188401,118,"Transport/ travel options around New Zealand"
3188419,118,"Information about amenities/services for the town you were in"
3188419,119,"Accommodation in the region you were in"
3188434,120,"Accommodation in the region you were in"
3188538,68,"Maps"
3188538,69,"Internet access"
3188553,76,"To meet other travellers"
3188471,91,"Attractions / Activities"
3188484,73,"Attractions / Activities"
3188538,70,"Compare prices / find deals"
3188538,71,"Attractions / Activities"
3188553,74,"General information about the region you were in"
3188553,79,"Attractions / Activities"
3188484,71,"Access to resources to assist you to plan"
3188553,75,"Access to resources to assist you to plan"
3188434,121,"Accommodation in a different region"
3188437,91,"Information about amenities/services for the town you were in"
3188471,89,"Accommodation in the region you were in"
3188471,90,"Accommodation in a different region"
3188484,72,"Event information"
3188553,78,"Transport/ travel options around New Zealand"
3188569,80,"Maps"
3188570,94,"Weather information"
3188569,82,"Attractions / Activities"
3188570,93,"General information about the region you were in"
3188570,98,"Attractions / Activities"
3188585,101,"General information about the region you were in"
3188585,105,"Attractions / Activities"
3188586,87,"General information about the region you were in"
3188586,89,"Compare prices / find deals"
3188569,81,"Accommodation in the region you were in"
3188553,77,"Directions"
3188585,102,"Information about Maori culture / cultural activities"
3188570,95,"Information about amenities/services for the town you were in"
3188570,96,"Transport/ travel options around New Zealand"
3188570,97,"Event information"
3188585,103,"Information about amenities/services for the town you were in"
3188585,104,"Accommodation in a different region"
3188586,91,"Information about amenities/services for the town you were in"
3188587,74,"Accommodation in a different region"
3188587,75,"Event information"
3188586,88,"Maps"
3184750,102,"Weather information"
3184750,103,"Maps"
3188653,67,"To meet other travellers"
3188705,93,"Maps"
3188719,97,"Weather information"
3188705,95,"Accommodation in the region you were in"
3188705,96,"Accommodation in a different region"
3188719,101,"Information about amenities/services for the town you were in"
3188719,102,"Accommodation in the region you were in"
3188586,90,"Directions"
3188587,72,"Information about Maori culture / cultural activities"
3188587,73,"General information about a different region"
3188587,77,"Suggested itineraries"
3184665,77,"Suggested itineraries"
3188719,98,"Maps"
3188719,99,"Internet access"
3188705,94,"General information about a different region"
3188587,76,"Attractions / Activities"
3188619,75,"Attractions / Activities"
3188705,97,"Attractions / Activities"
3188719,96,"General information about the region you were in"
3188719,100,"Overview of NZ regions"
3188719,103,"Attractions / Activities"
3188752,118,"Information about Maori culture / cultural activities"
3188752,119,"Directions"
3188752,121,"General information about a different region"
3188752,122,"Accommodation in a different region"
3188771,108,"Event information"
3184690,81,"Suggested itineraries"
3188771,105,"Access to resources to assist you to plan"
3188771,107,"General information about a different region"
3188737,81,"Attractions / Activities"
3188737,80,"Maps"
3188752,115,"Weather information"
3188752,116,"Maps"
3188752,117,"Internet access"
3184690,79,"Maps"
3188771,106,"Weather information"
3188752,114,"General information about the region you were in"
3188752,120,"Overview of NZ regions"
3184690,78,"General information about the region you were in"
3184690,80,"Attractions / Activities"
3188771,104,"General information about the region you were in"
3188771,109,"Attractions / Activities"
3188787,95,"See ratings by other travellers"
3188787,96,"Information about amenities/services for the town you were in"
3188787,97,"Accommodation in the region you were in"
3188787,98,"Accommodation in a different region"
3188787,99,"Transport/ travel options around New Zealand"
3188787,100,"Event information"
3188888,84,"Accommodation in the region you were in"
3188888,85,"Accommodation in a different region"
3188787,87,"General information about the region you were in"
3188787,90,"Weather information"
3188787,91,"Maps"
3188787,92,"Internet access"
3188787,89,"Access to resources to assist you to plan"
3188787,93,"Directions"
3188787,94,"General information about a different region"
3188855,90,"Directions"
3188888,82,"Access to resources to assist you to plan"
3188787,88,"Check/confirm existing travel plans"
3188787,101,"Attractions / Activities"
3188855,91,"Overview of NZ regions"
3188855,92,"Attractions / Activities"
3188888,83,"Directions"
3188888,87,"Suggested itineraries"
3188888,86,"Attractions / Activities"
3188902,105,"General information about the region you were in"
3188919,125,"General information about the region you were in"
3188919,129,"Overview of NZ regions"
3188937,126,"General information about the region you were in"
3188937,130,"Compare prices / find deals"
3188855,89,"Maps"
3188919,126,"Weather information"
3188919,127,"Maps"
3188919,128,"Internet access"
3188937,127,"Weather information"
3188937,128,"Maps"
3188937,129,"Internet access"
3188937,133,"Accommodation in the region you were in"
3188938,125,"Information about amenities/services for the town you were in"
3188938,126,"Event information"
3188939,99,"Information about amenities/services for the town you were in"
3188939,100,"Accommodation in the region you were in"
3188939,101,"Accommodation in a different region"
3188937,132,"Overview of NZ regions"
3188938,121,"General information about the region you were in"
3188938,122,"Weather information"
3188939,97,"Weather information"
3188939,98,"Maps"
3188955,87,"Maps"
3188955,88,"Internet access"
