"SurveyResponseID","AnswerNumber","TechnologyType"
3185120,141,"Your own mobile phone with a sim card purchased in New Zealand"
3185120,142,"Wi-fi internet locations"
3185120,143,"Your own laptop or iPad/tablet"
3185121,134,"Blackberry, iPhone or another smart phone"
3185121,135,"Your own laptop or iPad/tablet"
3185122,126,"Wi-fi internet locations"
3185125,143,"Internet cafes"
3185125,144,"Wi-fi internet locations"
3185131,115,"Blackberry, iPhone or another smart phone"
3185131,116,"Wi-fi internet locations"
3185131,117,"Your own laptop or iPad/tablet"
3185132,127,"Your own mobile phone with a sim card purchased in New Zealand"
3185132,128,"Blackberry, iPhone or another smart phone"
3185132,129,"Wi-fi internet locations"
3185133,100,"Your own mobile phone set to global roaming"
3185134,116,"Blackberry, iPhone or another smart phone"
3185134,117,"Wi-fi internet locations"
3185136,124,"Blackberry, iPhone or another smart phone"
3185136,125,"Wi-fi internet locations"
3185136,126,"Your own laptop or iPad/tablet"
3185137,122,"Blackberry, iPhone or another smart phone"
3185137,123,"Your own laptop or iPad/tablet"
3185138,121,"None of these"
3185139,110,"Your own mobile phone with a sim card purchased in New Zealand"
3185139,111,"Blackberry, iPhone or another smart phone"
3185139,112,"Your own laptop or iPad/tablet"
3185141,112,"None of these"
3185144,111,"Your own mobile phone with a sim card purchased in New Zealand"
3185144,112,"Your own mobile phone set to global roaming"
3185145,128,"Your own mobile phone set to global roaming"
3185145,129,"Your own laptop or iPad/tablet"
3185148,126,"Blackberry, iPhone or another smart phone"
3185148,127,"Wi-fi internet locations"
3185149,115,"Wi-fi internet locations"
3185153,119,"Your own mobile phone set to global roaming"
3185153,120,"Your own laptop or iPad/tablet"
3185155,129,"Your own mobile phone with a sim card purchased in New Zealand"
